,ID,MOLD_ID,CT,TFF
97727,1681802,B,0,20211104062724
97741,1682320,F,0,20211104061332
97749,1682365,C,183,20211104064058
97769,1682502,B,0,20211104072726
97779,1682573,F,0,20211104071335
97785,1682608,C,182,20211104074101
97805,1682743,B,0,20211104082728
97817,1682820,F,0,20211104081337
97823,1682855,C,184,20211104084104
97837,1682961,B,0,20211104092730
97848,1683062,F,0,20211104091341
97860,1683124,C,184,20211104094106
97878,1683252,B,178,20211104102732
97892,1683337,F,0,20211104101345
97899,1683378,C,184,20211104104109
97916,1683503,B,178,20211104112734
97925,1683564,F,0,20211104111347
97936,1683619,C,184,20211104114112
97957,1683763,B,178,20211104122736
97966,1683826,F,0,20211104121350
97972,1683862,C,184,20211104124115
97994,1684007,B,178,20211104132738
98003,1684070,F,0,20211104131353
98010,1684112,C,182,20211104134118
98031,1684255,B,178,20211104142740
98040,1684318,F,0,20211104141356
98047,1684360,C,182,20211104144120
98272,1685120,B,178,20211104152742
98295,1685227,F,0,20211104151359
98303,1685274,C,182,20211104154122
98325,1685429,B,178,20211104162744
98333,1685492,F,0,20211104161401
98341,1685540,C,183,20211104164125
98362,1685693,B,178,20211104172746
98371,1685755,F,0,20211104171403
98380,1685804,C,183,20211104174128
98402,1685961,B,178,20211104182748
98410,1686019,F,0,20211104181405
98417,1686063,C,183,20211104184130
98436,1686213,B,178,20211104192750
98447,1686278,F,0,20211104191407
98453,1686318,C,183,20211104194132
98476,1686481,B,178,20211104202753
98487,1686546,F,0,20211104201409
98493,1686586,C,183,20211104204134
98516,1686745,B,178,20211104212755
98524,1686805,F,0,20211104211411
98530,1686845,C,183,20211104214136
98549,1687003,B,178,20211104222757
98561,1687071,F,0,20211104221414
98569,1687121,C,182,20211104224139
98588,1687274,B,178,20211104232759
98605,1687356,F,0,20211104231417
98608,1687371,C,183,20211104234142
98625,1687524,B,178,20211105002801
98639,1687596,F,0,20211105001419
98647,1687654,C,183,20211105004144
98664,1687792,B,178,20211105012803
98675,1687854,F,0,20211105011422
98685,1687919,C,182,20211105014147
98701,1688077,B,178,20211105022805
98713,1688164,F,0,20211105021424
98722,1688242,C,182,20211105024149
98739,1688698,B,178,20211105032807
98751,1688880,F,0,20211105031427
98761,1688952,C,182,20211105034151
98778,1689107,B,178,20211105042809
98789,1689169,F,0,20211105041429
98799,1689232,C,182,20211105044153
98814,1689365,B,178,20211105052811
98826,1689426,F,0,20211105051432
98837,1689493,C,182,20211105054155
98852,1689631,B,178,20211105062813
98865,1690149,F,0,20211105061434
98874,1690210,C,182,20211105064157
98892,1690354,B,178,20211105072815
98902,1690416,F,0,20211105071436
98913,1690488,C,182,20211105074159
98929,1690622,B,178,20211105082817
98941,1690687,F,0,20211105081440
98949,1690745,C,183,20211105084201
98966,1690886,B,178,20211105092819
98978,1690952,F,0,20211105091443
98987,1691012,C,183,20211105094203
99002,1691161,B,178,20211105102822
99015,1691224,F,0,20211105101446
99024,1691287,C,183,20211105104205
99042,1691431,B,178,20211105112824
99053,1691486,F,0,20211105111448
99062,1691542,C,183,20211105114208
99082,1691708,B,178,20211105122826
99094,1691771,F,0,20211105121450
99099,1691815,C,183,20211105124210
99120,1691972,B,178,20211105132828
99132,1692035,F,0,20211105131453
99138,1692081,C,183,20211105134213
99159,1692292,B,178,20211105142830
99170,1692354,F,0,20211105141456
99177,1692402,C,183,20211105144215
99197,1692555,B,178,20211105152832
99208,1692619,F,0,20211105151458
99213,1692661,C,184,20211105154218
99234,1692820,B,178,20211105162834
99245,1692880,F,0,20211105161502
99250,1692922,C,183,20211105164221
99273,1693086,B,178,20211105172836
99284,1693146,F,0,20211105171505
99289,1693188,C,182,20211105174224
99310,1693345,B,178,20211105182838
99338,1693458,F,0,20211105181507
99343,1693500,C,183,20211105184227
99364,1693656,B,178,20211105192840
99375,1693718,F,0,20211105191509
99379,1693758,C,184,20211105194230
99404,1693925,B,178,20211105202842
99415,1693993,F,0,20211105201511
99419,1694025,C,184,20211105204233
99442,1694188,B,178,20211105212844
99452,1694246,F,0,20211105211514
99459,1694295,C,183,20211105214235
99480,1694451,B,178,20211105222846
99491,1694517,F,0,20211105221516
99499,1694563,C,183,20211105224237
99521,1694723,B,178,20211105232848
99537,1694810,F,0,20211105231518
99546,1694870,C,182,20211105234239
99560,1694978,B,178,20211106002850
99577,1695091,F,0,20211106002450
99583,1695137,C,184,20211106005203
99599,1695247,B,178,20211106012852
99616,1695357,F,0,20211106012453
99624,1695413,C,184,20211106015206
99636,1695507,B,178,20211106022854
99653,1695657,F,0,20211106022455
99661,1695713,C,182,20211106025208
99675,1695811,B,178,20211106032856
99692,1695923,F,0,20211106032458
99700,1695977,C,183,20211106035211
99712,1696067,B,178,20211106042858
99729,1696175,F,0,20211106042501
99738,1696234,C,183,20211106045213
99750,1696324,B,178,20211106052900
99767,1696432,F,0,20211106052504
99776,1696491,C,183,20211106055216
99789,1696584,B,178,20211106062903
99806,1697236,F,0,20211106062506
99814,1697292,C,184,20211106065218
99827,1697389,B,178,20211106072906
99844,1697497,F,0,20211106072508
99852,1697553,C,0,20211106075220
99864,1697649,B,178,20211106082908
99882,1697760,F,0,20211106082510
99899,1697843,C,0,20211106085222
99911,1697937,B,178,20211106092910
99929,1698050,F,0,20211106092512
99938,1698109,C,0,20211106095224
99950,1698205,B,178,20211106102912
99968,1698316,F,0,20211106102515
99976,1698372,C,0,20211106105226
99988,1698466,B,179,20211106112914
100006,1698576,F,0,20211106112518
100014,1698632,C,0,20211106115228
100026,1698736,B,178,20211106122916
100044,1698839,F,0,20211106122520
100052,1698897,C,0,20211106125230
100064,1698999,B,178,20211106132918
100082,1699106,F,0,20211106132522
100090,1699160,C,0,20211106135232
100108,1699302,B,178,20211106142920
100119,1699362,F,0,20211106142524
100127,1699419,C,0,20211106145234
100147,1699569,B,178,20211106153902
100158,1699630,F,0,20211106152527
100166,1699686,C,0,20211106155236
100184,1699825,B,178,20211106163904
100196,1699895,F,0,20211106162529
100204,1699947,C,0,20211106165239
100223,1700093,B,178,20211106173906
100234,1700158,F,0,20211106172531
100242,1700212,C,0,20211106175242
100261,1700356,B,178,20211106183908
100272,1700419,F,0,20211106182533
100280,1700473,C,0,20211106185244
100299,1700618,B,178,20211106193910
100310,1700684,F,0,20211106192536
100318,1700738,C,0,20211106195246
100338,1700886,B,178,20211106203913
100348,1700945,F,0,20211106202538
100356,1701000,C,0,20211106205248
100382,1701194,B,178,20211106213917
100386,1701206,F,0,20211106212540
100394,1701263,C,0,20211106215251
100419,1701455,B,178,20211106224919
100424,1701469,F,0,20211106222542
